,"test_time,model,Feature Extraction"
0,"0.28,LeNet,centroid"
0,"0.18,Logistic,centroid"
0,"1.97,ResNet,centroid"
0,"0.18,SVM,centroid"
0,"1.53,VGG,centroid"
0,"0.29,LeNet,chroma"
0,"0.17,Logistic,chroma"
0,"2.26,ResNet,chroma"
0,"0.2,SVM,chroma"
0,"2.53,VGG,chroma"
0,"0.32,LeNet,mel"
0,"0.19,Logistic,mel"
0,"2.14,ResNet,mel"
0,"0.17,SVM,mel"
0,"3.0,VGG,mel"
0,"0.39,LeNet,mfcc"
0,"0.21,Logistic,mfcc"
0,"5.36,ResNet,mfcc"
0,"0.19,SVM,mfcc"
0,"22.36,VGG,mfcc"
0,"0.3,LeNet,rolloff"
0,"0.21,Logistic,rolloff"
0,"2.07,ResNet,rolloff"
0,"0.17,SVM,rolloff"
0,"1.56,VGG,rolloff"
0,"0.3,LeNet,zcr"
0,"0.21,Logistic,zcr"
0,"2.15,ResNet,zcr"
0,"0.18,SVM,zcr"
0,"1.71,VGG,zcr"
