,"test_time,model,Feature Extraction"
0,"0.24,LeNet,centroid"
0,"0.16,Logistic,centroid"
0,"1.89,ResNet,centroid"
0,"0.15,SVM,centroid"
0,"2.26,VGG,centroid"
0,"0.3,LeNet,chroma"
0,"0.2,Logistic,chroma"
0,"2.27,ResNet,chroma"
0,"0.18,SVM,chroma"
0,"2.26,VGG,chroma"
0,"0.29,LeNet,mel"
0,"0.17,Logistic,mel"
0,"2.25,ResNet,mel"
0,"0.17,SVM,mel"
0,"2.84,VGG,mel"
0,"0.4,LeNet,mfcc"
0,"0.2,Logistic,mfcc"
0,"6.99,ResNet,mfcc"
0,"0.18,SVM,mfcc"
0,"25.7,VGG,mfcc"
0,"0.22,LeNet,rolloff"
0,"0.16,Logistic,rolloff"
0,"2.01,ResNet,rolloff"
0,"0.16,SVM,rolloff"
0,"1.91,VGG,rolloff"
0,"0.3,LeNet,zcr"
0,"0.18,Logistic,zcr"
0,"2.08,ResNet,zcr"
0,"0.18,SVM,zcr"
0,"2.44,VGG,zcr"
